complaint_id,citizen_id,department_id,complaint_type,description,status,assigned_team_id,created_at,resolved_at,zone_id
1,679,4,Streetlight Outage,Streetlight Outage reported at 662 Jill Fort Apt. 209,Open,3,2025-05-27 17:00:51,,2
2,1000,4,Garbage Pickup,Garbage Pickup reported at 46749 Potter Plains Apt. 559,Open,2,2025-04-08 09:36:59,,4
3,815,4,Water Leakage,Water Leakage reported at 42507 Ibarra Groves Suite 425,Open,5,2025-06-03 21:53:52,,2
4,97,2,Garbage Pickup,Garbage Pickup reported at 6020 Wagner Cape,In Progress,2,2025-04-12 15:05:35,,2
5,562,4,Water Leakage,Water Leakage reported at 65191 Jamie Mill,In Progress,2,2025-05-09 17:10:03,,3
6,862,4,Road Damage,Road Damage reported at 4251 West Cove,In Progress,1,2025-06-01 16:19:06,,2
7,346,1,Road Damage,Road Damage reported at 19907 Barron Union,Open,3,2025-02-16 02:29:38,,1
8,297,1,Road Damage,Road Damage reported at 008 Johnson Causeway Apt. 300,In Progress,5,2025-01-06 00:32:37,,2
9,566,2,Streetlight Outage,Streetlight Outage reported at 802 Wendy Station Apt. 598,Resolved,3,2025-01-31 03:10:54,2025-05-05 15:16:08,5
10,519,4,Road Damage,Road Damage reported at 9340 Kaitlin Lake Apt. 167,In Progress,5,2025-06-03 06:31:28,,2
11,621,3,Water Leakage,Water Leakage reported at 86529 Matthew Loaf Apt. 956,Resolved,1,2025-06-08 03:19:40,2025-06-08 06:51:09,1
12,406,2,Water Leakage,Water Leakage reported at 6949 Crystal Point Suite 745,In Progress,4,2025-03-20 07:05:51,,2
13,19,4,Water Leakage,Water Leakage reported at 583 Hernandez Fall,Resolved,5,2025-03-06 14:38:19,2025-05-02 16:01:25,2
14,726,4,Water Leakage,Water Leakage reported at 88758 Anderson Summit,In Progress,1,2025-05-29 06:18:34,,4
15,575,2,Water Leakage,Water Leakage reported at 14759 Justin Cove Apt. 336,Resolved,4,2025-04-24 15:13:40,2025-06-16 02:15:14,1
16,863,4,Garbage Pickup,Garbage Pickup reported at 77060 Allen Valley Suite 879,Open,4,2025-01-04 11:02:16,,4
17,81,2,Streetlight Outage,Streetlight Outage reported at 505 Mays Streets Suite 282,Open,1,2025-06-11 12:31:51,,1
18,738,2,Road Damage,Road Damage reported at 677 Figueroa Summit Apt. 817,Open,4,2025-05-13 18:23:24,,3
19,620,1,Garbage Pickup,Garbage Pickup reported at 8426 Gonzales Turnpike Suite 328,Resolved,3,2025-04-16 04:11:47,2025-05-03 10:15:02,5
20,672,1,Road Damage,Road Damage reported at 913 Parsons Falls Suite 758,Resolved,5,2025-02-17 14:57:01,2025-04-25 14:15:47,5
21,266,1,Road Damage,Road Damage reported at 71375 Nicholas Avenue Suite 430,Resolved,4,2025-04-10 20:42:27,2025-05-21 15:29:49,2
22,622,4,Garbage Pickup,Garbage Pickup reported at 5877 Rasmussen Point Apt. 018,Open,5,2025-02-20 00:04:20,,4
23,420,2,Streetlight Outage,Streetlight Outage reported at 318 Frederick Keys,Resolved,1,2025-04-09 15:28:35,2025-06-14 19:16:49,3
24,308,1,Streetlight Outage,Streetlight Outage reported at 86692 Emily Harbors Suite 699,Open,1,2025-05-28 12:07:24,,2
25,761,2,Road Damage,Road Damage reported at 127 Huynh Island,Resolved,5,2025-01-17 19:24:10,2025-03-23 08:50:08,5
26,108,2,Water Leakage,Water Leakage reported at 2554 Hernandez Stravenue,Resolved,3,2025-04-30 03:44:58,2025-05-22 13:20:05,5
27,615,3,Road Damage,Road Damage reported at 2881 Miller Greens,Open,1,2025-05-19 11:06:48,,3
28,306,4,Streetlight Outage,Streetlight Outage reported at 307 Richardson Oval,Resolved,2,2025-04-01 21:14:49,2025-04-26 18:23:57,1
29,264,3,Water Leakage,Water Leakage reported at 12248 Casey Mountain Suite 282,Resolved,2,2025-05-27 00:42:58,2025-06-04 15:40:44,1
30,858,3,Streetlight Outage,Streetlight Outage reported at 05593 Ray Via Apt. 999,Open,2,2025-02-01 23:54:04,,2
31,736,2,Garbage Pickup,Garbage Pickup reported at 4905 Derrick Spurs Apt. 505,Open,2,2025-01-03 12:19:45,,4
32,241,4,Water Leakage,Water Leakage reported at 71441 Leslie Pines Apt. 476,In Progress,2,2025-01-18 17:24:34,,2
33,180,3,Streetlight Outage,Streetlight Outage reported at 96447 Dickerson Street,Open,1,2025-04-06 07:16:03,,2
34,172,2,Garbage Pickup,Garbage Pickup reported at 6174 Trevor Extensions Suite 356,Open,5,2025-05-23 00:41:51,,5
35,532,2,Water Leakage,Water Leakage reported at 358 Livingston Loop,In Progress,5,2025-01-14 02:22:08,,1
36,80,3,Water Leakage,Water Leakage reported at 458 Frazier Island,Resolved,2,2025-06-12 15:08:27,2025-06-15 14:40:07,1
37,976,1,Garbage Pickup,Garbage Pickup reported at 76738 Howell Plaza,Resolved,3,2025-05-17 07:45:14,2025-06-03 23:52:16,1
38,258,3,Streetlight Outage,Streetlight Outage reported at 0458 Scott Ports Apt. 959,Resolved,1,2025-05-10 11:29:28,2025-05-12 16:23:22,4
39,575,2,Water Leakage,Water Leakage reported at 96382 Tran Orchard Suite 279,Open,3,2025-03-28 15:24:40,,1
40,731,2,Road Damage,Road Damage reported at 64188 Nichols Alley,Open,2,2025-02-12 13:53:50,,1
41,216,1,Road Damage,Road Damage reported at 2212 Lucas Island Apt. 432,In Progress,2,2025-03-02 22:21:02,,4
42,486,2,Road Damage,Road Damage reported at 1338 Christine Plaza Suite 514,Open,1,2025-02-17 04:48:51,,5
43,668,3,Water Leakage,Water Leakage reported at 604 Brian Walks,Resolved,3,2025-05-27 11:22:02,2025-06-03 15:04:04,4
